id,question,answerable,reference_answer,source_contains,first_relevant_rank,reciprocal_rank,retrieval_ms,retrieved_sources,hit@1,hit@3,hit@5,generated_answer,total_ms,basic_correct,safe_refusal,judge_correctness,judge_faithfulness,judge_relevance,judge_safe_refusal
q001,这个项目使用什么向量索引？,True,FAISS,rag_architecture.md,1,1.0,0.21,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/retrieval__README__003.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/local_rag__README__004.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/knowledge-rag-chat__README__005.md,1,1,1,这个项目使用 **FAISS** 作为向量索引，并会将索引持久化到本地磁盘。,2689.4,1,,1.0,1.0,1.0,1.0
q002,文本向量由什么组件生成？,True,Sentence-Transformers,rag_architecture.md,1,1.0,0.45,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/retrieval__README__003.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/local_rag__README__004.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/knowledge-rag-chat__README__005.md,1,1,1,文本向量由 **Sentence-Transformers** 生成，当前默认嵌入模型为 **BAAI/bge-small-zh-v1.5**。,4788.4,1,,1.0,1.0,1.0,1.0
q003,当前默认嵌入模型是什么？,True,BAAI/bge-small-zh-v1.5,rag_architecture.md,2,0.5,0.83,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/local_rag__README__004.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/evaluation__README__004.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/retrieval__README__003.md,0,1,1,当前默认嵌入模型是 **BAAI/bge-small-zh-v1.5**。,2741.88,1,,1.0,1.0,1.0,1.0
q004,系统使用什么工具切分文档？,True,RecursiveCharacterTextSplitter,rag_architecture.md,1,1.0,0.91,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/devops_ci.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/knowledge-rag-chat__README__005.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/knowledge-rag-chat__README__001.md,1,1,1,系统使用 LangChain 的 **RecursiveCharacterTextSplitter** 切分文档。,2574.43,1,,1.0,1.0,1.0,1.0
q005,当前 CHUNK_SIZE 和 CHUNK_OVERLAP 分别是多少？,True,500 和 50,rag_architecture.md,1,1.0,0.63,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/evaluation__README__009.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/local_rag__README__003.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/retrieval__README__000.md,1,1,1,当前 `CHUNK_SIZE=500`，`CHUNK_OVERLAP=50`。,2560.79,1,,1.0,1.0,1.0,1.0
q006,用户提交知识问答后，检索阶段首先做什么？,True,把问题编码为查询向量，再从 FAISS 检索相关文本块,rag_architecture.md,1,1.0,0.88,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/knowledge-rag-chat__README__005.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/eval_and_observability.md,1,1,1,用户提交知识问答后，检索阶段首先会把用户问题编码为查询向量。,4411.93,0,,1.0,1.0,1.0,1.0
q007,RAG 默认最多返回几个候选文本块？,True,4 个,rag_architecture.md,1,1.0,0.73,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/knowledge-rag-chat__README__001.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/local_rag__README__001.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md,1,1,1,RAG 默认最多返回 **4 个候选文本块**。,4203.31,1,,1.0,1.0,1.0,1.0
q008,检索上下文之后会交给哪个模型生成答案？,True,Qwen,rag_architecture.md,2,0.5,0.92,/Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/evaluation__README__001.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/evaluation__README__000.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/evaluation__README__009.md,0,1,1,检索出的上下文会和用户问题一起组成 RAG Prompt，然后交给 **Qwen** 生成最终答案。,3138.15,1,,1.0,1.0,1.0,1.0
q009,项目通过什么字段区分不同对话会话？,True,session_id,rag_architecture.md,1,1.0,0.39,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/local_rag__README__004.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/session_and_storage.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/retrieval__README__003.md,1,1,1,项目通过 `session_id` 字段区分不同对话会话。,2819.47,1,,1.0,1.0,1.0,1.0
q010,当前系统是否启用了 BM25 混合检索？,True,没有,rag_architecture.md,1,1.0,0.97,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/retrieval__README__000.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/retrieval__README__005.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/extended_noise/retrieval__README__003.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md,1,1,1,"当前系统**没有默认启用混合检索（Hybrid）**。

更准确地说：当前生产默认为 **`retrieval_mode = bm25`**，即 **BM25 主导 + 稠密检索兜底**；混合检索作为可选项保留，但默认不启用。",11532.37,1,,1.0,1.0,1.0,1.0
