id,question,answerable,reference_answer,source_contains,first_relevant_rank,reciprocal_rank,retrieval_ms,retrieved_sources,hit@1,hit@3,hit@5,generated_answer,total_ms,basic_correct,safe_refusal,judge_correctness,judge_faithfulness,judge_relevance,judge_safe_refusal
q001,这个项目使用什么向量索引？,True,FAISS,rag_architecture.md,1,1.0,51.28,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"这个项目使用 **FAISS** 作为向量索引。

根据参考资料，系统将文本向量（由 `BAAI/bge-small-zh-v1.5` 模型生成）存入 FAISS 索引，并且该索引会**持久化到本地磁盘**，以支持后续的快速检索。",2253.0,1,,1.0,1.0,1.0,1.0
q002,文本向量由什么组件生成？,True,Sentence-Transformers,rag_architecture.md,1,1.0,145.62,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"文本向量由 **Sentence-Transformers** 生成，当前默认使用的嵌入模型是 **BAAI/bge-small-zh-v1.5**。  

这是 RAG 系统中检索链路的关键一步：无论是用户提问还是文档切块，都会通过该模型编码为稠密向量，再送入 FAISS 向量数据库进行相似性检索。",2341.79,1,,1.0,1.0,1.0,1.0
q003,当前默认嵌入模型是什么？,True,BAAI/bge-small-zh-v1.5,rag_architecture.md,1,1.0,69.59,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"当前默认嵌入模型是 **BAAI/bge-small-zh-v1.5**。

这是在 RAG 系统架构说明中明确提到的，系统使用 Sentence-Transformers 来生成文本向量，并默认采用该中文小尺寸嵌入模型。它适用于中文语义检索，在效果与推理速度之间做了较好平衡。",2195.05,1,,1.0,1.0,1.0,1.0
q004,系统使用什么工具切分文档？,True,RecursiveCharacterTextSplitter,rag_architecture.md,1,1.0,68.61,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"系统使用 **LangChain 的 `RecursiveCharacterTextSplitter`** 来切分文档。

根据参考资料，当前的切分参数为：
- `CHUNK_SIZE = 500`（每块文本最多 500 个字符）
- `CHUNK_OVERLAP = 50`（相邻文本块之间重叠 50 个字符）

这种设置有助于保留上下文连贯性，提升后续向量检索的准确性。",2618.26,1,,1.0,1.0,1.0,1.0
q005,当前 CHUNK_SIZE 和 CHUNK_OVERLAP 分别是多少？,True,500 和 50,rag_architecture.md,1,1.0,133.11,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"当前的 `CHUNK_SIZE` 是 **500**，`CHUNK_OVERLAP` 是 **50**。

这是文档切分时使用的参数，基于 LangChain 的 `RecursiveCharacterTextSplitter`，用于在构建知识库索引前将原始文本合理分块，兼顾语义连贯性与检索精度。",2133.65,1,,1.0,1.0,1.0,1.0
q006,用户提交知识问答后，检索阶段首先做什么？,True,把问题编码为查询向量，再从 FAISS 检索相关文本块,rag_architecture.md,2,0.5,102.54,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,0,1,1,"用户提交知识问答后，检索阶段**首先将用户的问题编码为查询向量**。

具体来说，系统会使用默认的嵌入模型（`BAAI/bge-small-zh-v1.5`）对问题文本进行编码，生成一个稠密向量表示。这个查询向量随后被用于在已构建的 FAISS 向量索引中进行相似性检索，以找出最相关的若干文本块（默认 `RETRIEVAL_TOP_K = 4`）。

这是整个 RAG 流程的关键第一步——只有问题被准确向量化，才能在语义空间中高效、合理地匹配知识库中的相关内容。",3496.1,0,,1.0,1.0,1.0,1.0
q007,RAG 默认最多返回几个候选文本块？,True,4 个,rag_architecture.md,2,0.5,150.54,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,0,1,1,"RAG 默认最多返回 **4 个候选文本块**。

这是由配置参数 `RETRIEVAL_TOP_K=4` 决定的，系统在 FAISS 向量检索阶段会返回与问题最相关的前 4 个文本块，作为后续 Qwen 模型生成答案的上下文依据。",2009.01,1,,1.0,1.0,1.0,1.0
q008,检索上下文之后会交给哪个模型生成答案？,True,Qwen,rag_architecture.md,1,1.0,109.19,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"检索上下文之后，会和用户的问题一起组成 RAG Prompt，交给 **Qwen 模型** 生成最终答案。

这是当前系统（Benchmark v2）的默认配置，已在【参考资料】中明确说明。Qwen 是一个开源的大语言模型（如 Qwen-1.5 或 Qwen2 系列），负责基于检索到的相关文本块进行推理与回答生成。",2331.02,1,,1.0,1.0,1.0,1.0
q009,项目通过什么字段区分不同对话会话？,True,session_id,rag_architecture.md,1,1.0,106.93,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"项目通过 `session_id` 字段区分不同对话会话。

根据参考资料，RAG 问答接口支持携带 `session_id`，系统利用它来关联和维护多轮对话的上下文。同一个 `session_id` 对应一次连续的会话，从而实现上下文记忆（如前一轮的问题或答案可被后续请求参考）。需要注意的是，清空“对话记忆”只会影响该 `session_id` 下的历史记录，而不会删除已构建的知识库索引；只有执行“清空知识&记忆”才会一并清理索引和会话状态。",3419.31,1,,1.0,1.0,1.0,1.0
q010,当前系统是否启用了 BM25 混合检索？,True,没有,rag_architecture.md,1,1.0,83.41,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md,1,1,1,"没有，当前系统**未启用 BM25 混合检索**。

根据参考资料，系统目前采用的是**单路稠密向量检索**（即仅基于 Sentence-Transformers 生成的语义向量 + FAISS 检索），明确说明：“没有启用 BM25 混合检索，也没有接入独立的 Cross-Encoder Reranker”。

如需提升检索多样性或结合关键词匹配能力，后续可考虑引入 BM25 作为混合检索的一路，但当前版本暂不支持。",3047.65,1,,1.0,1.0,1.0,1.0
q011,这个项目的后端框架是什么？,True,FastAPI,api_guide.md,1,1.0,87.89,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md,1,1,1,"这个项目的后端框架是 **FastAPI**。  
根据参考资料，后端默认监听端口为 `8000`，服务可通过 `run.py` 启动，启动后可在本地浏览器访问 `http://127.0.0.1:8000`。",1824.56,1,,1.0,1.0,0.8,1.0
q012,后端默认监听哪个端口？,True,8000,api_guide.md,1,1.0,135.17,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md,1,1,1,"后端默认监听 **8000 端口**。  
（依据参考资料：API 与后端说明、部署与配置说明中均明确指出默认 PORT 配置为 8000）",1506.93,1,,1.0,1.0,1.0,1.0
q013,上传文档后后端会进行哪些主要处理？,True,文档读取、文本切分、向量生成和 FAISS 索引更新,api_guide.md,1,1.0,65.0,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"上传文档后，后端会依次完成以下**四大主要处理步骤**：

1. **文档读取与解析**  
   - 支持 TXT、Markdown、PDF、DOCX 和 CSV 五种格式（当前不支持 XLSX）；  
   - 根据文件类型调用对应解析器提取纯文本内容。

2. **文本切分（Chunking）**  
   - 使用 LangChain 的 `RecursiveCharacterTextSplitter`；  
   - 当前配置：`CHUNK_SIZE = 500` 字符，`CHUNK_OVERLAP = 50`，以兼顾语义完整性与检索粒度。

3. **向量化（Embedding）**  
   - 使用 Sentence-Transformers 模型（默认为 `BAAI/bge-small-zh-v1.5`）将每个文本块编码为稠密向量；  
   - 向量维度固定，适配后续 FAISS 检索。

4. **索引构建与持久化**  
   - 将向量存入 FAISS 索引，并**持久化到本地磁盘**；  
   - 同一知识库中所有文档的索引会合并管理，支持跨文档联合检索。

✅ 补充说明：  
- 这些操作在用户上传后**自动触发**，无需手动干预；  
- 知识库索引独立于对话记忆存在——即使清空对话历史，索引仍保留；  
- 若执行“清空知识&记忆”，才会彻底删除索引和会话状态。

需要我帮你梳理某一步的技术细节（比如切分逻辑、FAISS 更新机制），或解释如何验证处理是否成功？ 😊",8589.57,0,,1.0,1.0,1.0,1.0
q014,RAG 问答接口能否携带 session_id？,True,可以,api_guide.md,1,1.0,138.19,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"是的，RAG 问答接口**可以携带 `session_id`**。

根据项目说明，`session_id` 用于**关联多轮对话上下文**，系统会基于该 ID 区分不同会话，从而在连续提问时保留同一会话的历史（例如上一轮的问题或回答上下文），提升多轮问答的一致性和连贯性。

需要注意的是：
- 携带 `session_id` 不会影响知识库检索本身（检索仍基于当前问题 + 已构建的 FAISS 索引）；
- 它主要影响**对话状态管理**，比如 RAG Prompt 中是否拼接历史对话片段（取决于具体实现逻辑）；
- 清空“对话记忆”只会删除该 `session_id` 对应的会话历史，**不会删除已构建的知识库索引**；
- 如果执行的是“清空知识&记忆”，则会同时清理索引和会话数据。

如需在调用中使用，建议在请求参数或 Header 中传递（具体格式可参考前端代码或 FastAPI 接口定义，通常为 query 参数或 JSON body 字段）。需要我帮你模拟一个带 `session_id` 的请求示例吗？ 😊",6570.19,1,,1.0,1.0,0.9,1.0
q015,RAG 返回结果除了 answer 还可以包含什么？,True,sources,api_guide.md,1,1.0,84.03,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"RAG 返回结果除了 `answer` 外，还可以包含 `sources`，用于展示回答所依据的知识来源（例如来自哪份文档、哪个文本块等）。这有助于提升回答的可解释性和可信度，方便用户追溯信息出处。

这个设计在【参考资料】中明确提到：“RAG 返回结果除了 answer 外，还可以包含 sources，用于展示回答所依据的知识来源。”",2204.98,1,,1.0,1.0,1.0,1.0
q016,普通聊天和 RAG 问答的核心区别是什么？,True,普通聊天不强制检索知识库，RAG 问答会先检索知识库,api_guide.md,1,1.0,102.16,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"普通聊天和 RAG 问答的核心区别在于**是否依赖你上传的私有知识库来生成回答**，具体可以从以下几个方面理解：

🔹 **信息来源不同**  
- **普通聊天模式**：不强制检索知识库，行为更接近通用大模型对话（如和 Qwen 自由聊天），回答主要基于模型自身的参数化知识，**不参考你上传的文档**。  
- **RAG 问答模式**：会先在你已上传并构建索引的文档中进行语义检索（用 BGE 向量 + FAISS），找出最相关的 4 个文本块（`RETRIEVAL_TOP_K=4`），再将这些上下文 + 你的问题一起交给 Qwen 生成答案——**答案有据可依，且来源可追溯（支持返回 `sources`）**。

🔹 **适用场景不同**  
- 普通聊天适合闲聊、创意发散、通用问题解答；  
- RAG 问答适合需要**精准依据内部资料**的场景，比如查公司制度、读项目文档、理解产品手册等。

🔹 **上下文管理方式一致，但内容基础不同**  
两者都支持通过 `session_id` 维持多轮对话记忆（例如追问“上一条提到的流程图在哪？”），但：  
- 普通聊天的记忆只是历史消息缓存；  
- RAG 问答的记忆 + 每次都会重新检索知识库 → 即使上下文没提文档名，系统仍能结合最新检索结果作答。

✅ 小贴士：清空“对话记忆”不会影响已建好的知识库索引；只有点击“清空知识&记忆”才会一并删除文档向量和会话状态。

需要我帮你对比一次实际提问在两种模式下的输出差异吗？ 😊",9131.06,0,,1.0,1.0,1.0,1.0
q017,清空对话记忆会删除知识库索引吗？,True,不会,api_guide.md,2,0.5,64.72,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,0,1,1,"不会，**清空对话记忆不会删除知识库索引**。

根据文档说明：  
✅ 清空对话记忆（即清除会话历史）仅影响当前 session 的聊天上下文，比如之前问过的问题、模型的回答等；  
❌ **已上传并成功索引的文档内容、FAISS 向量索引、知识库状态均保持不变**，后续仍可正常进行 RAG 问答。

只有当你执行的是 **“清空知识&记忆”**（注意是带“知识”的完整操作），才会同时：
- 删除所有已构建的知识库索引（即清空 FAISS 索引 + 文档解析缓存）；
- 清除当前会话的历史记录。

所以如果你只是想重新开始聊天但保留已有知识库，放心清空记忆即可 👍  
需要彻底重置知识库时，再选择“清空知识&记忆”。",4594.92,1,,1.0,1.0,1.0,1.0
q018,项目根目录通过哪个文件启动 Web 服务？,True,run.py,api_guide.md,1,1.0,80.6,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md,1,1,1,项目根目录可以通过 `run.py` 文件启动 Web 服务。,734.15,1,,1.0,1.0,1.0,1.0
q019,本机浏览器访问地址是什么？,True,http://127.0.0.1:8000,api_guide.md,1,1.0,60.6,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"本机浏览器可以访问：**http://127.0.0.1:8000**

这是后端 FastAPI 服务的默认地址（HOST `127.0.0.1` + PORT `8000`），服务启动后即可通过该地址打开 Web 界面。  
（信息来自知识库中的「API 与后端说明」和「部署与配置说明」部分）",2932.46,1,,1.0,1.0,1.0,1.0
q020,真实运行配置主要存放在哪个文件？,True,frontend/local_rag/.env,api_guide.md,1,1.0,44.19,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"真实运行配置主要存放在 `frontend/local_rag/.env` 文件中。

⚠️ 注意：该文件应包含敏感配置（如 `DASHSCOPE_API_KEY`），**不应提交到 GitHub**；公开仓库中仅保留示例模板 `frontend/local_rag/.env.example` 作为占位参考。",1909.68,1,,1.0,1.0,1.0,1.0
