id,question,answerable,reference_answer,source_contains,first_relevant_rank,reciprocal_rank,retrieval_ms,retrieved_sources,hit@1,hit@3,hit@5,generated_answer,total_ms,basic_correct,safe_refusal,judge_correctness,judge_faithfulness,judge_relevance,judge_safe_refusal
q001,这个项目使用什么向量索引？,True,FAISS,rag_architecture.md,1,1.0,65.66,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,该项目使用 FAISS 作为向量索引。,1123.58,1,,1.0,1.0,1.0,1.0
q002,文本向量由什么组件生成？,True,Sentence-Transformers,rag_architecture.md,1,1.0,108.7,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,文本向量由 **Sentence-Transformers** 生成，当前默认嵌入模型为 **BAAI/bge-small-zh-v1.5**。,1127.88,1,,1.0,1.0,1.0,1.0
q003,当前默认嵌入模型是什么？,True,BAAI/bge-small-zh-v1.5,rag_architecture.md,1,1.0,85.38,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,"当前默认嵌入模型是 **BAAI/bge-small-zh-v1.5**。

依据来自【RAG 系统架构说明（Benchmark v2）】：
> 系统使用 Sentence-Transformers 生成文本向量，**当前默认嵌入模型为 BAAI/bge-small-zh-v1.5**。",2017.37,1,,1.0,1.0,1.0,1.0
q004,系统使用什么工具切分文档？,True,RecursiveCharacterTextSplitter,rag_architecture.md,1,1.0,98.35,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,系统使用 LangChain 的 `RecursiveCharacterTextSplitter` 切分文档。,775.93,1,,1.0,1.0,1.0,1.0
q005,当前 CHUNK_SIZE 和 CHUNK_OVERLAP 分别是多少？,True,500 和 50,rag_architecture.md,1,1.0,115.94,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,当前 CHUNK_SIZE = 500，CHUNK_OVERLAP = 50。,848.78,1,,1.0,1.0,1.0,1.0
q006,用户提交知识问答后，检索阶段首先做什么？,True,把问题编码为查询向量，再从 FAISS 检索相关文本块,rag_architecture.md,2,0.5,134.15,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,0,1,1,"用户提交知识问答后，检索阶段首先**把问题编码为查询向量**。

依据【参考资料】中“RAG 系统架构说明（Benchmark v2）”的描述：  
> “用户提交知识问答请求后，系统先把问题编码为查询向量，再从 FAISS 中检索相关文本块。”",1963.74,1,,0.5,1.0,0.8,1.0
q007,RAG 默认最多返回几个候选文本块？,True,4 个,rag_architecture.md,2,0.5,135.9,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,0,1,1,"RAG 默认最多返回 **4 个候选文本块**。

依据参考资料中“RAG 系统架构说明（Benchmark v2）”部分明确指出：  
> 当前 RETRIEVAL_TOP_K=4，因此每次知识检索默认最多返回 4 个候选文本块。",1764.77,1,,1.0,1.0,1.0,1.0
q008,检索上下文之后会交给哪个模型生成答案？,True,Qwen,rag_architecture.md,1,1.0,114.65,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,检索上下文之后会交给 **Qwen** 模型生成最终答案。,890.89,1,,1.0,1.0,1.0,1.0
q009,项目通过什么字段区分不同对话会话？,True,session_id,rag_architecture.md,1,1.0,107.74,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md,1,1,1,项目通过 `session_id` 字段区分不同对话会话。,698.58,1,,1.0,1.0,1.0,1.0
q010,当前系统是否启用了 BM25 混合检索？,True,没有,rag_architecture.md,1,1.0,84.34,/Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/rag_architecture.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/api_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/deployment_guide.md | /Users/killg/Desktop/knowledge-rag-chat/evaluation/corpus/user_manual.md,1,1,1,"没有启用 BM25 混合检索。

【参考资料】明确指出：“当前检索方式为单路稠密向量检索，没有启用 BM25 混合检索，也没有接入独立的 Cross-Encoder Reranker。”",1661.22,1,,1.0,1.0,1.0,1.0
