question_id,question,rank_dense,rank_bm25,rank_hybrid
q001,这个项目使用什么向量索引？,1,1,1
q002,文本向量由什么组件生成？,1,1,1
q003,当前默认嵌入模型是什么？,2,2,2
q004,系统使用什么工具切分文档？,1,1,1
q005,当前 CHUNK_SIZE 和 CHUNK_OVERLAP 分别是多少？,1,1,1
q006,用户提交知识问答后，检索阶段首先做什么？,1,1,1
q007,RAG 默认最多返回几个候选文本块？,,1,2
q008,检索上下文之后会交给哪个模型生成答案？,1,2,1
q009,项目通过什么字段区分不同对话会话？,,1,4
q010,当前系统是否启用了 BM25 混合检索？,3,1,2
q011,这个项目的后端框架是什么？,3,2,1
q012,后端默认监听哪个端口？,1,1,1
q013,上传文档后后端会进行哪些主要处理？,2,1,1
q014,RAG 问答接口能否携带 session_id？,1,1,1
q015,RAG 返回结果除了 answer 还可以包含什么？,3,1,2
q016,普通聊天和 RAG 问答的核心区别是什么？,1,3,1
q017,清空对话记忆会删除知识库索引吗？,4,1,3
q018,项目根目录通过哪个文件启动 Web 服务？,1,1,1
q019,本机浏览器访问地址是什么？,1,1,1
q020,真实运行配置主要存放在哪个文件？,,1,
q021,当前系统明确支持哪些文档格式？,1,1,1
q022,现有文档是否声明支持 XLSX？,1,1,1
q023,Web 页面上传文档后系统会自动完成什么？,1,1,1
q024,一个知识库可以包含多个文档吗？,2,1,1
q025,知识问答模式适合什么类型的场景？,1,1,1
q026,如何让连续多轮请求保留同一会话上下文？,5,1,2
q027,清空对话记忆之后知识库索引还在吗？,1,2,2
q028,执行“清空知识&记忆”会发生什么？,1,1,1
q029,当前版本是否实现语音输入和 OCR？,1,1,1
q030,Hugging Face unauthenticated warning 是否一定代表程序失败？,,1,2
q031,默认 HOST 配置是什么？,1,3,1
q032,默认 PORT 配置是多少？,1,1,1
q033,嵌入模型第一次使用时从哪里下载？,1,1,1
q034,当前聊天模型配置是什么？,1,1,1
q035,DashScope 的 OpenAI-compatible API 地址是什么？,1,2,1
q036,真实 DashScope API Key 应该写到哪里？,,1,
q037,RETRIEVAL_TOP_K 当前配置是多少？,1,1,1
q038,FAISS 索引目录由什么配置项指定？,,1,1
q039,真实 .env 文件应该上传 GitHub 吗？,1,1,1
q040,项目评测脚本可以统计哪些类型的指标？,4,1,2
q051,前端用的是哪个框架和什么语言？,1,,3
q052,前端的构建工具是什么？,1,1,1
q053,前端构建产物输出到哪个目录？,2,1,1
q054,前端要怎么构建？,1,1,1
q055,回答区域支持什么格式的渲染？,2,1,1
q056,渲染 Markdown 之前做了什么安全防护？,1,1,1
q057,页面上可以切换哪两种问答模式？,,1,
q058,前端靠什么维持同一个会话的上下文？,4,1,2
q059,项目用哪个文件做容器化，是不是多阶段构建？,2,1,1
q060,编排服务用的是哪个文件？,1,1,1
q061,GitHub Actions 的工作流文件叫什么？,1,1,1
q062,CI 里一共有哪三个 job？,1,1,1
q063,后端冒烟测试用的 Python 版本是多少？,,1,
q064,前端构建 job 用的 Node 版本是多少？,3,3,2
q065,docker-build 这个 job 依赖哪两个 job？,1,1,1
q066,自动化工作流集成走的是哪个接口？,2,1,1
q067,webhook 密钥校验失败会返回什么？,1,1,1
q068,想开启链路追踪要接哪个平台？,1,1,1
q069,检索评测脚本是哪个文件？,1,1,1
q070,评测数据集存在哪个文件里？,1,1,1
q071,评测集里有多少条是用来测拒答的？,1,1,1
q072,检索侧的评测指标有哪些？,1,1,1
q073,Ragas 用来评测生成质量的哪两个维度？,2,1,1
q074,多 Agent 链路里三个 Agent 分别叫什么？,,,
q075,哪个返回字段能看出这次回答调用了哪些 Agent？,1,1,1
q076,知识库里查不到依据时系统会怎么做？,,1,3
q077,评测会统计哪两类延迟？,1,1,1
q078,一个会话最多能记住多少轮对话？,1,4,3
q079,上传同名文件会被覆盖吗？系统怎么处理？,1,1,1
q080,上传的文件落在哪个目录？,1,1,1
q081,FAISS 索引持久化到哪个目录？,,1,4
q082,新传一份文档，需要把整个索引重建一遍吗？,,1,3
q083,清空对话记忆会不会把索引文件也删了？,1,1,1
q084,执行清空知识操作会清掉哪些东西？,1,1,1
q085,DOMPurify 用的是哪个版本？,,1,2
q086,webhook 的密钥要放在哪个请求头里？,1,1,1
q087,接 LangSmith 要配哪几个环境变量？,,5,
q088,评测数据集默认包含多少条题目？,1,1,1
q089,前端源码放在哪个目录？,1,1,1
q090,Vite 用的 Vue 插件叫什么？,2,2,1
